canonical_company_id,company,parent_company_id,aliases_entities,region,locations,archetype,why_test,career_url,source_strategy,rating,notes
vontobel,Vontobel,,Bank Vontobel; Vontobel Asset Management,Switzerland,Zurich; Frankfurt; global,Investment House / Asset Management,"Tests investment research, structured products, asset management and risk; penalize distribution and relationship roles.",https://www.vontobel.com/de-ch/ueber-vontobel/karriere/offene-stellen/,Global portal with business-area and location listings,Unrated,
nordea,Nordea,,Nordea Bank; Nordea Markets,Nordics,Helsinki; Stockholm; Copenhagen; Oslo,Banking / Markets / Risk,"English-friendly multinational Nordic test across markets, treasury, risk, investments, finance and data.",https://www.nordea.com/en/careers,Global canonical portal plus country pages,Unrated,
seb,SEB Group,,Skandinaviska Enskilda Banken; SEB,Nordics,Stockholm; Copenhagen; Oslo; Helsinki,Banking / Markets / Asset Management,"Strong markets, risk, investment and corporate-finance platform; distinguish analytical roles from client coverage.",https://sebgroup.com/career,Global parent plus country pages,Unrated,
danske-bank,Danske Bank,,Danske Bank Group,Nordics,Copenhagen; Stockholm; Helsinki; Oslo,Banking / Markets / Risk,"Tests Nordic banking, risk, treasury and analytics with experienced-professional career paths.",https://danskebank.com/careers,Global parent portal backed by Oracle ATS,Unrated,
orsted,Ørsted,,Ørsted A/S,Nordics,Copenhagen and international,Renewable Energy / Trading,"High-potential fit for energy markets, business cases, treasury, risk and strategic finance.",https://orsted.com/en/careers/vacancies-list,Global portal plus country pages; dedupe by requisition ID,Unrated,
equinor,Equinor,,Equinor ASA,Nordics,Oslo and international,Energy / Trading / Treasury,"Strong test for commodity markets, treasury, risk, investment analysis and finance in an international English environment.",https://www.equinor.com/careers,Global corporate page linking to Workday ATS,Unrated,
nbim,Norges Bank Investment Management,,NBIM; Government Pension Fund Global,Nordics,Oslo; London,Asset Management / Research / Data,"Exceptional fit hypothesis for company research, portfolio strategies, risk, valuation, analytics and cross-asset markets.",https://www.nbim.no/en/about-us/career/vacancies/,Single global employer with Oslo and international offices,Unrated,
ebrd,European Bank for Reconstruction and Development,,EBRD,United Kingdom,London and resident offices,Investment / Banking / Risk,"Strong fit for investment analysis, banking, risk, economics and Central-European market knowledge; sponsorship must be checked per role.",https://jobs.ebrd.com/,Single global portal with HQ and resident-office filters,Unrated,
blackrock,BlackRock,,BlackRock; Aladdin,United Kingdom,London and global,Asset Management / Risk Technology,"Tests asset management, portfolio analytics, risk, data and Aladdin-adjacent roles; avoid client-sales tracks.",https://careers.blackrock.com/,Global canonical portal with regional filters,Unrated,
schroders,Schroders,,Schroders; Schroders Capital,United Kingdom,London and global,Asset Management / Research,"Direct test for investment research, portfolio analytics, multi-asset and private-markets interest.",https://www.schroders.com/en/global/individual/careers/,Global group portal with business lines,Unrated,
