canonical_company_id,company,parent_company_id,aliases_entities,company_category,region,locations,archetype,why_test,career_url,source_strategy,rating,notes
baringa,Baringa,,Baringa Partners,Consulting,Multi-region,Berlin; Munich; London; Nordics coverage,Energy / Financial Services Consulting,"High-potential specialist for energy markets, banking, risk and transformation.",https://www.baringa.com/en/careers/,Global employer portal with sector and geography filters,Unrated,
newton-europe,Newton Europe,,Newton,Consulting,United Kingdom,London; Oxfordshire; UK projects,Operations / Transformation Consulting,Exploration candidate for analytical performance-improvement work; travel and UK work authorization need role review.,https://www.newtoneurope.com/careers/,Single UK-focused employer portal,Unrated,
porsche-consulting,Porsche Consulting,porsche-se,Porsche Consulting,Consulting,Multi-region,Stuttgart; Munich; Hamburg; Berlin; Zurich; London,Strategy / Operations Consulting,Strong industrial and corporate-strategy adjacency with German-market relevance; German threshold varies.,https://www.porsche-consulting.com/careers/,Global firm portal with office-level roles,Unrated,
d-fine,d-fine,,d-fine,Consulting,Multi-region,Frankfurt; Munich; Berlin; Hamburg; Zurich; London,Quant / Risk / Data Consulting,"High analytical fit across financial markets, risk, treasury, data and quantitative projects; German requirements are important.",https://www.d-fine.com/en/career/,Single employer portal with location filters,Unrated,
zuehlke,Zühlke,,Zuehlke; Zühlke Engineering,Consulting,Multi-region,Munich; Hamburg; Frankfurt; Zurich; Vienna; London,Technology / Data Consulting,"Exploration source for data, financial services and product transformation with strong DACH presence.",https://www.zuehlke.com/en/careers,Global portal with national vacancy filters,Unrated,
synpulse,Synpulse,,Synpulse Management Consulting,Consulting,Multi-region,Frankfurt; Zurich; London; Nordics coverage,Banking / Insurance Consulting,"Direct sector relevance across banking, insurance, wealth management, risk and finance transformation.",https://www.synpulse.com/en/careers,Global employer portal with office filters,Unrated,
nera,NERA Economic Consulting,marsh-mclennan,NERA; NERA Economic Consulting,Consulting,Multi-region,Berlin; Frankfurt; London,Economic / Competition Consulting,"Strong analytical exploration fit for economics, valuation, financial disputes and regulatory work.",https://careers.marshmclennan.com/global/en/nera,Marsh McLennan ATS filtered to NERA,Unrated,
compass-lexecon,Compass Lexecon,fti-consulting,Compass Lexecon,Consulting,Multi-region,Berlin; London; European offices,Economic / Competition Consulting,"Relevant for quantitative economics, valuation, competition and disputes; role requirements may favor advanced economics degrees.",https://www.compasslexecon.com/careers/,Global specialist portal with office-level recruiting,Unrated,
charles-river-associates,Charles River Associates,,CRA; Charles River Associates,Consulting,Multi-region,Munich; London; European offices,Economic / Financial Consulting,"Exploration candidate for finance, economics, energy, competition and disputes analytics.",https://www.crai.com/careers/,Global portal with practice and location filters,Unrated,
kroll,Kroll,,,Consulting,Multi-region,London; Frankfurt; Zurich; Paris; Luxembourg,Financial & Valuation Advisory,"Global valuation, financial risk, restructuring and derivatives advisory firm hiring across treasury/valuation/risk practices in UK, DACH and other EU offices.",https://careers.kroll.com/en,Official careers page (Oracle Cloud ATS),Unrated,
lincoln-international,Lincoln International,,,Consulting,Multi-region,Frankfurt; Vienna; Zurich; London,Mid-Market M&A Advisory / Investment Banking,Mid-market M&A and valuation advisory with offices across DACH/UK relevant to deals and valuation experience.,https://www.lincolninternational.com/careers-and-culture/careers/,Official careers page,Unrated,
interpath-advisory,Interpath Advisory,,,Consulting,United Kingdom,London; Munich,Restructuring & Financial Advisory (ex-KPMG UK spin-off),"Restructuring/insolvency and financial advisory firm expanding into DACH, fitting treasury/liquidity/risk turnaround work.",,No confirmed direct careers URL yet; check job boards,Unrated,
berkeley-research-group,Berkeley Research Group,,,Consulting,United Kingdom,London,Financial Consulting / Disputes & Valuation,"Disputes, valuation and financial consulting practice suits derivatives/valuation background.",,No confirmed direct careers URL yet; check job boards,Unrated,
ankura-consulting-group,Ankura Consulting Group,,,Consulting,United Kingdom,London,Financial Advisory / Risk & Disputes Consulting,"Financial advisory, risk, and restructuring consulting practice relevant to market risk and treasury profile.",,No confirmed direct careers URL yet; check job boards,Unrated,
teneo,Teneo,,,Consulting,Multi-region,London,CEO / Financial & Risk Advisory,"Dedicated Financial Advisory and Risk Advisory practice lines fit restructuring, treasury and risk experience.",https://www.teneo.com/careers/open-positions/,Official careers page,Unrated,
wtw,WTW (Willis Towers Watson),,,Consulting,Multi-region,London; Frankfurt; Zurich; Stockholm; Copenhagen,Investment & Risk Consulting,"Investment consulting and risk management advisory practices align with market risk, treasury and investment experience.",https://careers.wtwco.com/,Official careers page,Unrated,
