canonical_company_id,company,parent_company_id,aliases_entities,company_category,region,locations,archetype,why_test,career_url,source_strategy,rating,notes
bridgepoint,Bridgepoint Group,,Bridgepoint; Bridgepoint Credit,Private Equity & Asset Management,Multi-region,Frankfurt; Stockholm; London,Private Equity / Credit,"Strong mid-market European platform with investment, portfolio and credit possibilities.",https://www.bridgepoint.eu/careers,Canonical group portal with office filters,Unrated,
triton,Triton Partners,,Triton; Triton Smaller Mid-Cap,Private Equity & Asset Management,Multi-region,Frankfurt; Stockholm; London,Private Equity / Industrials,Good fit hypothesis for industrial and business-services investing with DACH and Nordic coverage.,https://www.triton-partners.com/careers/,Single parent portal with office-level recruiting,Unrated,
hg,Hg,,HgCapital; Hg,Private Equity & Asset Management,Multi-region,Munich; London,Private Equity / Software,"Technology-focused buyout platform relevant for investment, portfolio and data-driven value-creation roles.",https://hgcapital.com/careers,Global firm portal with team-level roles,Unrated,
ardian,Ardian,,Ardian,Private Equity & Asset Management,Multi-region,Frankfurt; Zurich; London,Private Equity / Infrastructure / Secondaries,Broad European alternatives platform with multiple investment strategies and strong DACH presence.,https://www.ardian.com/careers,Global portal with strategy and office filters,Unrated,
tpg,TPG,,TPG Capital; TPG Rise,Private Equity & Asset Management,Multi-region,London; European offices,Private Equity / Growth / Impact,"Exploration source for investments, impact, growth and portfolio roles.",https://www.tpg.com/careers,Global canonical portal with business filters,Unrated,
bain-capital,Bain Capital,,Bain Capital; Bain Capital Credit,Private Equity & Asset Management,Multi-region,Munich; London,Private Equity / Credit,High-upside platform with private equity and credit strategies; do not confuse with Bain & Company.,https://www.baincapital.com/careers,Separate canonical employer from Bain consulting,Unrated,
brookfield,Brookfield Asset Management,,Brookfield; Brookfield Renewable; Brookfield Infrastructure,Private Equity & Asset Management,Multi-region,Frankfurt; London; European offices,Infrastructure / Real Assets / Private Equity,"Strong fit for infrastructure, energy transition, real assets, finance and investment analytics.",https://www.brookfield.com/careers,Canonical parent with operating and fund-strategy sources,Unrated,
ares,Ares Management,,Ares; Ares Management,Private Equity & Asset Management,Multi-region,Frankfurt; London; European offices,Credit / Private Equity / Real Assets,"Relevant for private credit, alternatives, real assets and portfolio analytics.",https://www.aresmgmt.com/careers,Global group portal with business filters,Unrated,
macquarie,Macquarie Group,,Macquarie; Macquarie Asset Management; Macquarie Capital,Private Equity & Asset Management,Multi-region,Frankfurt; Zurich; London; European offices,Infrastructure / Asset Management / Corporate Finance,"High-fit platform spanning infrastructure, energy, asset management, advisory and markets.",https://www.macquarie.com/careers.html,Canonical group portal with division and location filters,Unrated,
icg,Intermediate Capital Group,,ICG; Intermediate Capital Group,Private Equity & Asset Management,Multi-region,Frankfurt; London,Private Credit / Private Equity,Strong European alternative-credit and private-capital platform with investment and fund analytics roles.,https://www.icgam.com/careers/,Global group portal with office filters,Unrated,
antin,Antin Infrastructure Partners,,Antin,Private Equity & Asset Management,Multi-region,London; European offices,Infrastructure Private Equity,"Focused infrastructure investor relevant for energy transition, transport, digital and social infrastructure.",https://www.antin-ip.com/careers,Single global firm with office-level sources,Unrated,
eurazeo,Eurazeo,,Eurazeo,Private Equity & Asset Management,Multi-region,Berlin; Frankfurt coverage; London; European offices,Private Equity / Growth / Real Assets,"Broad European investment platform with buyout, growth and real-assets strategies.",https://www.eurazeo.com/en/group/careers,Canonical group portal with strategy filters,Unrated,
pai-partners,PAI Partners,,PAI; PAI Partners,Private Equity & Asset Management,Multi-region,Munich; London; European offices,Private Equity,European buyout platform with DACH coverage; investment-track entry remains exploration.,https://www.paipartners.com/careers/,Single firm portal with office recruiting,Unrated,
waterland,Waterland Private Equity,,Waterland,Private Equity & Asset Management,Multi-region,Munich; Hamburg; Copenhagen; Oslo; London,Private Equity / Mid-Market,Attractive mid-market platform with DACH and Nordic coverage and possible portfolio roles.,https://www.waterlandpe.com/careers/,Global parent portal with local office sources,Unrated,
nordic-capital,Nordic Capital,,Nordic Capital,Private Equity & Asset Management,Nordics,Stockholm; Copenhagen; Oslo; Helsinki; London; Frankfurt,Private Equity,High-priority Nordic investment platform with financial-services and healthcare exposure.,https://www.nordiccapital.com/careers/,Single firm portal with office filters,Unrated,
altor,Altor,,Altor Equity Partners,Private Equity & Asset Management,Nordics,Stockholm; Oslo; Copenhagen; Zurich,Private Equity,"Nordic buyout platform with industrial, services and technology portfolio exposure.",https://altor.com/career,Single employer portal with office recruiting,Unrated,
axcel,Axcel,,Axcel Management,Private Equity & Asset Management,Nordics,Copenhagen; Stockholm,Private Equity / Mid-Market,Nordic mid-market investment platform with Copenhagen and Stockholm relevance.,https://axcel.dk/career/,Single firm career page,Unrated,
fsn-capital,FSN Capital,,FSN Capital Partners,Private Equity & Asset Management,Nordics,Oslo; Stockholm; Copenhagen; Munich,Private Equity,Nordic and DACH buyout platform with useful target-city coverage.,https://www.fsncapital.com/careers,Single firm portal with office recruiting,Unrated,
verdane,Verdane,,Verdane Capital,Private Equity & Asset Management,Nordics,Oslo; Stockholm; Copenhagen; Helsinki; Berlin; London,Growth Equity,Strong Nordic growth-investment platform with technology and sustainability orientation.,https://verdane.com/careers/,Global firm portal with office filters,Unrated,
summa-equity,Summa Equity,,Summa Equity,Private Equity & Asset Management,Nordics,Stockholm; Oslo; Munich,Impact / Private Equity,High-interest Nordic impact investor with DACH expansion and thematic investment model.,https://summaequity.com/career/,Single firm portal with team opportunities,Unrated,
dbag,Deutsche Beteiligungs AG,,DBAG; Deutsche Beteiligungs AG,Private Equity & Asset Management,Germany,Frankfurt,Private Equity / Mid-Market,Direct Frankfurt mid-market investing source with German industrial and business-services exposure.,https://www.dbag.com/career/,Single listed investment firm portal,Unrated,
mutares,Mutares,,Mutares SE & Co. KGaA,Private Equity & Asset Management,Germany,Munich; Frankfurt; Vienna; London; Nordics coverage,Turnaround Private Equity,"Strong fit for restructuring, portfolio finance, M&A and operational value creation across Europe.",https://mutares.com/en/career/,Canonical group with holding and portfolio-company sources,Unrated,
capvis,Capvis,,Capvis Equity Partners,Private Equity & Asset Management,Switzerland,Zurich; Frankfurt coverage,Private Equity / Mid-Market,Swiss mid-market investment platform relevant for DACH investing and portfolio roles.,https://www.capvis.com/careers/,Single firm portal with office recruiting,Unrated,
ufenau,Ufenau Capital Partners,,Ufenau,Private Equity & Asset Management,Switzerland,Zurich; Munich; London,Private Equity / Services,DACH-focused services investor with investment and portfolio opportunities.,https://www.ufenaucapital.com/career,Single firm portal with office-level roles,Unrated,
enterprise-investors,Enterprise Investors,,Enterprise Investors; Polish Enterprise Fund,Private Equity & Asset Management,Multi-region,Warsaw; Prague and CEE coverage,Private Equity / CEE,High-value CEE platform where regional knowledge and Czech market familiarity may be differentiated.,https://www.ei.com.pl/en/career/,Single regional firm portal,Unrated,
mid-europa,MidEuropa,,Mid Europa Partners; MidEuropa,Private Equity & Asset Management,Multi-region,London; Warsaw; Prague and CEE coverage,Private Equity / CEE,Direct CEE investment fit with regional transactions and portfolio exposure.,https://mideuropa.com/careers/,Single firm portal with team opportunities,Unrated,
innova-capital,Innova Capital,,Innova Capital,Private Equity & Asset Management,Multi-region,Warsaw; Prague and CEE coverage,Private Equity / CEE,"CEE buyout platform relevant for investment, portfolio and regional corporate-finance work.",https://innovacap.com/career/,Single regional firm career source,Unrated,
genesis-capital,Genesis Capital,,Genesis Capital Equity; Genesis Private Equity,Private Equity & Asset Management,Czechia,Prague; CEE,Private Equity / Czech Mid-Market,"Direct local investing target where Czech fluency, network and market knowledge can materially improve fit.",https://www.genesis.cz/en/career,Single Czech investment firm source,Unrated,
penta-investments,Penta Investments,,Penta; Penta Investments,Private Equity & Asset Management,Multi-region,Prague; Bratislava; Warsaw,Investment Group / Private Equity,"Strong local and CEE fit across investments, portfolio finance, strategy and M&A.",https://www.pentainvestments.com/en/career/,Canonical investment group with portfolio-company sources,Unrated,
amundi,Amundi,,Amundi Asset Management,Private Equity & Asset Management,Multi-region,Vienna; Frankfurt; Zurich; Nordics; London,Asset Management,"Large European asset manager with investment, product, risk, data and strategy roles.",https://about.amundi.com/Careers,Global parent portal with country and business filters,Unrated,
fidelity-international,Fidelity International,,Fidelity International; FIL,Private Equity & Asset Management,Multi-region,Frankfurt; Zurich; London,Asset Management / Research,"Strong source for investment research, portfolio analytics, risk, data and product strategy.",https://careers.fidelityinternational.com/,Global ATS with business and location filters,Unrated,
invesco,Invesco,,Invesco Ltd.,Private Equity & Asset Management,Multi-region,Frankfurt; Zurich; London,Asset Management,"Relevant for investments, portfolio analytics, risk, product and data roles.",https://careers.invesco.com/,Global canonical portal with location filters,Unrated,
vanguard,Vanguard,,The Vanguard Group,Private Equity & Asset Management,Multi-region,Frankfurt; London; European offices,Asset Management / Data,"Large index and asset-management platform with portfolio, investment, data and strategy roles.",https://www.vanguardjobs.com/,Global employer portal with regional filters,Unrated,
mg,M&G,,M&G plc; M&G Investments,Private Equity & Asset Management,United Kingdom,London; European offices,Asset Management / Insurance,"Relevant for investments, risk, private markets, finance and data roles; sponsorship varies.",https://www.mandg.com/careers,Canonical group portal with business filters,Unrated,
man-group,Man Group,,Man Group; AHL,Private Equity & Asset Management,United Kingdom,London; European offices,Alternative Asset Management / Quant,"High-interest source for systematic investing, portfolio analytics, data, risk and finance.",https://www.man.com/careers,Global group portal with strategy filters,Unrated,
janus-henderson,Janus Henderson,,Janus Henderson Investors,Private Equity & Asset Management,United Kingdom,London; Frankfurt; European offices,Asset Management / Research,"Relevant for investment research, portfolio analytics, risk, product and data roles.",https://www.janushenderson.com/corporate/careers/,Global parent portal with location filters,Unrated,
baillie-gifford,Baillie Gifford,,Baillie Gifford,Private Equity & Asset Management,United Kingdom,Edinburgh; London,Asset Management / Research,Research-led investment manager with strong analytical culture; UK location and sponsorship need review.,https://www.bailliegifford.com/en/uk/individual-investors/careers/,Single employer portal with experienced roles,Unrated,
abrdn,abrdn,,Aberdeen; Standard Life Aberdeen; abrdn,Private Equity & Asset Management,United Kingdom,Edinburgh; London; European offices,Asset Management / Investments,"Broad investment platform for research, portfolio, risk, private markets and data roles.",https://www.abrdn.com/en/corporate/careers,Canonical group portal with location filters,Unrated,
ik-partners,IK Partners,,,Private Equity & Asset Management,Multi-region,Stockholm; London,Private Equity / Buyout,"Pan-European mid-market PE firm with strong Nordic and UK roots, relevant for investment/valuation and portfolio finance roles.",https://ikpartners.com/careers/,Own careers page,Unrated,
capman,CapMan,,,Private Equity & Asset Management,Nordics,Helsinki; Stockholm; Copenhagen,Private Equity / Private Markets Asset Management,"Listed Nordic private-markets manager (PE, real estate, infra) with treasury, portfolio valuation and risk functions across Finland/Sweden/Denmark.",https://capman.com/about-us/careers/,Own careers page,Unrated,
adelis-equity-partners,Adelis Equity Partners,,,Private Equity & Asset Management,Nordics,Stockholm; Oslo; Copenhagen; Helsinki,Private Equity / Buyout,"Nordic-focused mid-market PE firm active in Sweden, Norway, Denmark and Finland, fitting the target-market geography closely.",,No verified careers URL yet; check LinkedIn,Unrated,
pemberton-asset-management,Pemberton Asset Management,,,Private Equity & Asset Management,United Kingdom,London,Private Credit / Direct Lending,"Private-debt specialist (direct lending, NAV financing) needing credit risk, valuation and treasury-style portfolio finance skills.",https://pembertonam.com/careers/,Own careers page,Unrated,
golding-capital-partners,Golding Capital Partners,,,Private Equity & Asset Management,Germany,Munich,Private Markets Fund-of-Funds / Asset Management,"German independent private-markets asset manager offering investment, risk and portfolio-valuation roles in the DACH region.",https://www.goldingcapital.com/en/careers,Careers page links to recruiting.goldingcapital.com,Unrated,
coller-capital,Coller Capital,,,Private Equity & Asset Management,United Kingdom,London,Private Equity Secondaries,"Leading secondaries investor requiring deep valuation, portfolio analytics and risk-assessment expertise on PE fund stakes.",https://www.collercapital.com/careers/,Teamtailor ATS,Unrated,
astorg,Astorg,,,Private Equity & Asset Management,Multi-region,London; Luxembourg; Paris; Frankfurt,Private Equity / Buyout,European upper-mid-market PE firm with a London office and continental footprint including Germany.,https://astorg.pinpointhq.com/,Pinpoint ATS,Unrated,
copenhagen-infrastructure-partners,Copenhagen Infrastructure Partners,,CIP,Private Equity & Asset Management,Denmark,Copenhagen; Multi-region,Infrastructure Fund Manager,"World-leading greenfield renewables infrastructure manager - investment, financial-modelling and portfolio-analytics roles fit the profile.",https://www.linkedin.com/company/copenhagen-infrastructure-partners-k-s/jobs/,Company careers via LinkedIn (first-party URL unverified),Unrated,
inflexion,Inflexion,,Inflexion Private Equity Partners,Private Equity & Asset Management,UK,London; Manchester; Stockholm; Amsterdam,Mid-Market Private Equity,"UK mid-market PE with Nordic presence - valuation, deal analytics and investment work aligned with corporate-finance/investment interests.",https://www.inflexion.com/,Official website / careers,Unrated,
equistone-partners-europe,Equistone Partners Europe,,Equistone,Private Equity & Asset Management,Multi-region,London; Germany; Switzerland; France,Mid-Market Private Equity,"European mid-market buyout firm across UK/DACH - investment analysis, valuation and financial-modelling exposure.",,Official careers page (URL unverified - search company careers site),Unrated,
arcmont-asset-management,Arcmont Asset Management,,Arcmont,Private Equity & Asset Management,UK,London; European offices,Private Credit / Direct Lending,"European direct-lending manager - credit analysis, valuation and financial-modelling work relevant to the profile.",https://arcmont.com/life-at-arcmont/,Official careers page,Unrated,
trill-impact,Trill Impact,,Trill Impact AB,Private Equity & Asset Management,Sweden,Stockholm; Multi-region,Impact Private Equity / Private Markets,"Nordic impact private-markets manager - investment analysis, valuation and portfolio-analytics roles fit corporate-finance/investment interests.",,Official careers page (URL unverified - search company careers site),Unrated,
montagu-private-equity,Montagu Private Equity,,Montagu,Private Equity & Asset Management,UK,"London, Frankfurt, Luxembourg, Paris, Warsaw",European mid-market private equity firm,"Direct-investment PE work (deal analysis, LBO/financial modelling, valuation, portfolio monitoring) matching his investment and financial-modelling focus.",,Official careers page (montagu.com) / LinkedIn — first-party URL not verified,Unrated,
vitruvian-partners,Vitruvian Partners,,Vitruvian,Private Equity & Asset Management,UK,"London, Munich, Stockholm, Madrid, Luxembourg",Growth buyout & growth-capital private equity manager,"Growth-equity investing with valuation and financial-modelling work on the investment team, a direct match for his investment profile.",,Official careers page (vitruvianpartners.com) — first-party URL not verified,Unrated,
hayfin-capital-management,Hayfin Capital Management,,Hayfin,Private Equity & Asset Management,UK,"London, Frankfurt, Luxembourg","Private-credit, liquid-credit and private-equity-solutions manager","Private-credit investing (credit analysis, valuation, financial modelling, investment memos) matching his valuation, financial-modelling and investment interests.",https://www.hayfin.com/,Official careers page,Unrated,
dpe-deutsche-private-equity,DPE Deutsche Private Equity,,DPE,Private Equity & Private Markets,Germany,Munich,Mid-market private equity,"Active portfolio ownership with deal, valuation and value-creation work in DACH mid-market.",https://www.dpe.de/en/career/,Firm careers site; investment team roles.,Unrated,
paragon-partners,Paragon Partners,,,Private Equity & Private Markets,Germany,Munich,Mid-market private equity,Hands-on value creation in DACH mid-market buyouts.,,Firm site careers; investment roles.,Unrated,
afinum,Afinum,,Afinum Management,Private Equity & Private Markets,Multi-region,"Munich, Zurich",DACH mid-market private equity,"Active-ownership mid-market buyouts across Germany, Austria and Switzerland.",,Firm site careers; investment roles.,Unrated,
norvestor,Norvestor,,,Private Equity & Private Markets,Multi-region,"Oslo, Stockholm, Helsinki, Copenhagen",Nordic mid-market private equity,Active buyouts and buy-and-build across the Nordics with analytical deal work.,https://www.norvestor.com/internships,Firm careers/internships page; investment roles.,Unrated,
polaris-private-equity,Polaris Private Equity,,Polaris Management,Private Equity & Private Markets,Denmark,Copenhagen,Nordic mid-market private equity,Active ownership in Nordic mid-market companies with deal/portfolio work.,,Firm site careers; investment roles.,Unrated,
livingbridge,Livingbridge,,,Private Equity & Private Markets,UK,"London, Manchester",UK mid-market private equity,Growth-company investing with active ownership across services/tech/healthcare/consumer.,,Firm site careers/people; investment roles.,Unrated,
eqt-group,EQT,,EQT AB,Private Equity & Private Markets,Nordics,Stockholm; global,Global private-markets flagship,"Stockholm-listed global private-markets platform across PE, infrastructure and real assets.",https://eqtgroup.com/about/careers,First-party careers site; Greenhouse,Unrated,
deutsche-beteiligungs,Deutsche Beteiligungs AG,,DBAG,Private Equity & Private Markets,Germany,Frankfurt,Listed German mid-market PE,"Frankfurt-listed, oldest German PE firm investing in Mittelstand industrials with valuation and deal work.",https://www.dbag.com/careers,First-party careers site,Unrated,
castik-capital,Castik Capital,,,Private Equity & Private Markets,Germany,Munich,Long-term European buyout (EPIC funds),Long-hold European PE with concentrated deal work - investment and value-creation roles.,https://www.castik.com/career,Firm careers site,Unrated,
emeram-capital-partners,Emeram Capital Partners,,EMERAM,Private Equity & Private Markets,Germany,Munich,DACH mid-market buyout,Independent DACH mid-market PE - hands-on investment and portfolio finance work.,https://www.emeram.com/en/career,Firm careers site,Unrated,
priveq,Priveq,,,Private Equity & Private Markets,Sweden,Stockholm,Nordic growth/buyout PE,Long-standing Nordic mid-market PE with investment and value-creation roles in a target geo.,,Firm site + LinkedIn,Unrated,
park-square-capital,Park Square Capital,,,Private Equity & Private Markets,UK,London,European private credit,"Independent European private-debt manager - direct credit, valuation and structuring work.",,Firm site + LinkedIn,Unrated,
tikehau-capital,Tikehau Capital,,,Private Equity & Private Markets,Multi-region,"Paris, London, Frankfurt",Diversified alternative asset manager,"Private debt, private equity and real assets platform with pan-European investment roles.",https://www.tikehaucapital.com/en/careers,Firm careers site,Unrated,
montagu,Montagu Private Equity,,,Private Equity & Private Markets,UK,London; Dusseldorf; Stockholm; Paris,European mid-market buyout,Established EUR ~14bn European mid-market buyout house with DACH/Nordic offices - deal analysis and modelling on the direct-investment team.,,Firm careers page and PE job boards,Unrated,
bregal-unternehmerkapital,Bregal Unternehmerkapital,,BU,Private Equity & Private Markets,Germany,Zug; Munich; Milan; London; Amsterdam,DACH mid-cap buyout,Largest DACH-headquartered mid-cap investor (EUR ~7bn AUM) backing Mittelstand hidden champions - direct-investment and value-creation roles.,https://www.bu-partners.com/careers/,First-party careers; investment roles,Unrated,
quadriga-capital,Quadriga Capital,,,Private Equity & Private Markets,Germany,Frankfurt,German mid-market buyout,Independent Frankfurt mid-market PE firm investing in DACH companies - accessible investment-analyst environment on the deal team.,,Firm careers page; investment roles,Unrated,
segulah,Segulah,,Segulah Advisor,Private Equity & Private Markets,Sweden,Stockholm,Nordic mid-cap buyout,"Leading Nordic mid-cap buyout firm (B2B services, light manufacturing, IT) with an investment-internship-to-analyst pipeline in a target geo.",,Firm careers/internships page; investment roles,Unrated,
